"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Biology,11,0,0,0,1,4,4,1,1
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Chemistry,8,0,0,1,2,4,0,1,0
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Management Studies / Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Management Studies / Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Mathematical Studies,8,0,0,0,0,4,3,0,1
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Other Languages,14,0,0,0,1,5,6,1,1
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Psychology,9,0,0,0,1,4,2,1,1
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Standard level component,Untranslated Literature,12,0,0,0,3,9,0,0,0
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Biology,14,0,0,0,1,9,2,2,0
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Chemistry,6,0,0,0,0,1,4,1,0
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,History,13,0,0,0,1,3,5,4,0
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Logic/ Philosophy,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Mathematical Studies,16,0,0,0,2,5,5,4,0
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Other Languages,16,0,0,0,0,3,6,7,0
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Theatre Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Academy,IBO Standard level component,Untranslated Literature,6,0,0,0,0,2,3,1,0
Medway,136313,The Rochester Grammar School,Academy,IBO Higher level component,Untranslated Literature,14,0,0,0,1,4,7,2,0
Kent,136317,Sandwich Technology School,Academy,IBO Standard level component,Film Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136317,Sandwich Technology School,Academy,IBO Standard level component,Information & Communications Technology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136317,Sandwich Technology School,Academy,IBO Standard level component,Management Studies / Science,6,0,0,0,2,3,0,0,1
Kent,136317,Sandwich Technology School,Academy,IBO Standard level component,Psychology,8,0,0,1,2,5,0,0,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Biology,8,0,0,0,3,2,3,0,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Biology,11,0,0,1,1,4,3,1,1
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Chemistry,7,0,0,0,1,1,1,4,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Geography,7,0,0,0,2,0,2,3,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,History,14,0,0,0,1,3,5,5,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Logic/ Philosophy,8,0,0,1,0,3,3,1,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Mathematical Studies,12,0,0,0,5,2,3,2,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Mathematics (Further),12,0,1,0,2,5,3,1,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Other Languages,21,0,0,0,1,2,14,4,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Other Languages,10,0,0,0,0,1,7,2,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Standard level component,Untranslated Literature,8,0,0,0,1,2,4,1,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Untranslated Literature,20,0,0,0,2,3,10,5,0
Torbay,136321,Torquay Boys' Grammar School,Academy,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Biology,30,0,0,0,2,10,13,5,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Biology,113,0,0,1,7,40,42,23,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Chemistry,8,0,0,1,3,3,1,0,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Chemistry,101,0,0,6,24,29,26,16,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Classics (General),9,0,0,1,0,3,3,2,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Computer Studies/Computing,15,0,2,2,4,2,3,2,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Design & Technology,6,0,0,0,4,0,2,0,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Design & Technology,11,0,0,0,3,7,1,0,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Economics,10,0,0,0,0,2,7,1,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Economics,47,0,0,0,1,8,27,11,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Geography,9,0,0,0,0,2,2,5,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Geography,62,0,0,0,1,8,31,22,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,History,15,0,0,0,1,6,7,1,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,History,72,0,0,0,2,17,43,10,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Logic/ Philosophy,61,0,0,0,7,26,28,0,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Management Studies / Science,21,0,0,0,0,8,8,5,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Mathematical Studies,185,0,0,2,6,55,55,67,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Mathematics (Further),54,0,1,3,12,21,13,4,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Mathematics (Further),21,0,0,2,12,3,2,2,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Other Classical Languages,9,0,0,0,2,4,2,1,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Other Languages,227,0,0,3,27,93,97,7,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Other Languages,21,0,0,0,1,5,9,6,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Physical Education/Sports Studies,11,0,0,0,0,0,6,5,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Physics,40,0,0,0,12,10,13,5,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Psychology,48,0,0,0,2,18,27,1,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Theatre Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Untranslated Literature,144,0,0,0,1,40,85,18,0
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Untranslated Literature,116,0,0,0,1,26,70,19,0
Kent,136359,Dartford Grammar School,Academy,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136359,Dartford Grammar School,Academy,IBO Higher level component,Visual Arts,15,0,0,0,0,2,8,5,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Biology,9,0,0,0,2,3,1,3,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Biology,22,0,0,0,3,9,7,3,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Chemistry,12,0,2,2,5,1,1,1,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Computer Studies/Computing,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Computer Studies/Computing,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Economics,9,0,0,0,0,4,5,0,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Geography,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Geography,8,0,0,0,0,3,4,1,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,History,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Management Studies / Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Management Studies / Science,6,0,0,0,0,2,3,1,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Mathematical Studies,28,0,0,1,1,7,11,8,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Mathematics (Further),7,0,1,2,0,3,0,0,1
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Mathematics (Further),12,0,3,5,0,3,1,0,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Music,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Other Languages,32,0,1,5,12,8,6,0,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Other Languages,10,0,0,0,1,3,6,0,0
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Physical Education/Sports Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Psychology,14,0,0,0,1,6,6,1,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Theatre Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Untranslated Literature,28,0,0,0,3,15,9,1,0
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Untranslated Literature,19,0,0,0,0,5,8,5,1
Bexley,136369,Bexley Grammar School,Academy,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bexley,136369,Bexley Grammar School,Academy,IBO Higher level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Biology,6,0,0,0,1,3,2,0,0
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Chemistry,8,0,0,0,2,3,2,1,0
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Design & Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Mathematics (Further),6,0,2,0,2,2,0,0,0
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Other Languages,26,0,0,0,1,5,9,11,0
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Standard level component,Untranslated Literature,8,0,0,0,0,1,6,1,0
Essex,136412,Chelmsford County High School for Girls,Academy,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Biology,9,0,0,0,3,1,3,2,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Biology,48,0,0,0,6,12,22,8,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Chemistry,6,0,0,0,1,1,1,3,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Chemistry,26,0,0,0,4,6,9,7,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Classics (General),7,0,0,0,0,0,1,6,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Computer Studies/Computing,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Computer Studies/Computing,7,0,0,2,1,1,2,1,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Design & Technology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Economics,6,0,0,0,0,1,4,1,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Economics,23,0,0,0,0,8,6,9,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Film Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Film Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Geography,23,0,0,0,0,2,14,7,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,History,24,0,0,0,2,9,7,6,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Logic/ Philosophy,8,0,0,0,0,1,2,5,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Logic/ Philosophy,9,0,0,0,0,3,4,1,1
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Mathematical Studies,67,0,0,1,1,16,18,31,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Mathematics (Further),22,0,0,1,3,5,6,7,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Mathematics (Further),15,0,0,0,6,3,6,0,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Music,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Other Classical Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Other Languages,78,0,0,0,7,28,32,11,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Other Languages,21,0,0,0,2,4,6,9,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Physical Education/Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Physics,15,0,0,1,1,6,5,2,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Physics,11,0,0,0,2,5,4,0,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Psychology,11,0,0,0,0,1,5,5,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Psychology,31,0,0,0,1,10,20,0,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Standard level component,Untranslated Literature,59,0,0,0,2,35,18,4,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Untranslated Literature,45,0,0,0,0,6,27,12,0
Kent,136417,Tonbridge Grammar School,Academy,IBO Higher level component,Visual Arts,13,0,0,0,1,7,3,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Biology,31,0,0,1,5,16,6,3,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Biology,41,0,0,4,7,17,11,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Chemistry,11,0,0,1,5,4,1,0,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Chemistry,20,0,0,2,4,11,2,1,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Design & Technology,6,0,0,0,0,5,0,1,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Design & Technology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Economics,11,0,0,0,1,5,3,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Geography,6,0,0,0,1,1,2,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Geography,14,0,0,0,1,2,4,7,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,History,8,0,0,0,1,2,3,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,History,29,0,0,0,0,7,17,5,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Management Studies / Science,9,0,0,0,1,1,4,3,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Management Studies / Science,23,0,0,0,4,13,5,1,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Mathematical Studies,49,0,0,1,6,18,18,6,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Mathematics (Further),51,0,6,6,10,14,12,3,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Mathematics (Further),15,0,1,3,2,6,3,0,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
