"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Physics,7,0,1,2,3,0,0,0,1
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Psychology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Theatre Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Untranslated Literature,10,0,0,2,4,4,0,0,0
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Untranslated Literature,18,0,0,1,2,6,7,1,1
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Visual Arts,7,0,0,3,2,2,0,0,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Biology,6,0,0,0,1,3,1,1,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Chemistry,9,0,0,0,1,4,1,3,0
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Chemistry,10,0,0,0,0,2,4,4,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Geography,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,History,13,0,0,0,0,3,8,2,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Logic/ Philosophy,6,0,0,0,0,1,3,2,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Mathematical Studies,12,0,0,0,0,3,5,4,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Mathematics (Further),10,0,0,1,1,0,7,1,0
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Mathematics (Further),8,0,0,0,0,2,1,5,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Other Languages,17,0,0,1,1,2,9,4,0
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Other Languages,11,0,0,0,1,1,7,2,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Physics,7,0,0,0,3,1,0,3,0
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Physics,6,0,0,0,0,3,2,1,0
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101837,Whitgift School,Independent School,IBO Standard level component,Untranslated Literature,15,0,0,0,0,3,9,3,0
