"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Plymouth,113609,Plymouth College,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),9,0,1,7,1,0,0,0
Dorset,113854,Ferndown Upper School,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113854,Ferndown Upper School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,8,0,1,3,3,1,0,0
Dorset,113889,Shaftesbury School,Voluntary Controlled School,"AQA Level 3 Certificate in Enterprise, Employability and Personal Finance",Preparation for Work,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114310,Durham Sixth Form Centre,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),17,0,2,7,5,2,0,1
County Durham,114310,Durham Sixth Form Centre,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),7,0,2,3,2,0,0,0
County Durham,114311,Durham Community Business College for Technology and Enterprise,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,115368,Cecil Jones College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,115368,Cecil Jones College,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),18,0,3,2,8,4,1,0
Southend-on-Sea,115368,Cecil Jones College,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),15,0,3,3,4,2,0,3
Hampshire,116433,Yateley School,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,116433,Yateley School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,13,0,3,7,1,2,0,0
Southampton,116458,Bitterne Park School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),9,0,2,6,0,1,0,0
Worcestershire,116929,South Bromsgrove Community High School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),14,0,1,5,5,2,0,1
Worcestershire,116929,South Bromsgrove Community High School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117500,The Hemel Hempstead School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),24,0,3,8,10,2,0,1
Hertfordshire,117519,Simon Balle School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),33,0,3,15,4,8,0,3
Hertfordshire,117592,The Hertfordshire & Essex High School and Science College,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),30,0,11,12,5,2,0,0
Hertfordshire,117592,The Hertfordshire & Essex High School and Science College,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),19,0,11,5,2,1,0,0
East Riding of Yorkshire,118078,Driffield School and Sixth Form,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),18,0,3,6,5,3,0,1
East Riding of Yorkshire,118111,Bridlington School Sports College,Voluntary Controlled School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),36,0,1,4,14,12,5,0
Kent,118832,The North School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),19,0,0,11,5,2,0,1
Kent,118832,The North School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),18,0,3,11,4,0,0,0
Kent,118836,Maidstone Grammar School for Girls,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),11,0,5,4,2,0,0,0
Medway,118908,St John Fisher Catholic Comprehensive School,Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),34,0,0,0,4,4,1,25
Medway,118929,The Howard School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),46,0,6,21,12,6,0,1
Medway,118929,The Howard School,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),40,0,10,18,11,0,0,1
Kent,118930,Pent Valley Technology College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,7,0,3,3,0,1,0,0
Medway,119006,Rochester Independent College,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,120307,Saint Paul's Catholic School,Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),12,0,2,4,4,2,0,0
Leicester,120307,Saint Paul's Catholic School,Voluntary Aided School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,120332,Loughborough Grammar School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,120333,Loughborough High School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),17,0,8,7,0,0,0,2
Leicestershire,120333,Loughborough High School,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,120713,Monks' Dyke Tennyson College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,6,0,2,2,0,2,0,0
Norfolk,121180,Thorpe St Andrew School and Sixth Form,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),6,0,3,0,3,0,0,0
Norfolk,121180,Thorpe St Andrew School and Sixth Form,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121664,Easingwold School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),13,0,3,5,3,1,0,1
North Yorkshire,121664,Easingwold School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121679,The Wensleydale School & Sixth Form,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121699,Boroughbridge High School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),12,0,1,1,2,4,1,3
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,12,0,8,4,0,0,0,0
North Yorkshire,121743,Queen Ethelburga's College,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121743,Queen Ethelburga's College,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,122328,Haydon Bridge Community High School and Sports College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,9,0,6,2,1,0,0,0
Nottinghamshire,122830,Garibaldi College,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),27,0,10,14,3,0,0,0
Nottinghamshire,122830,Garibaldi College,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),22,0,7,14,1,0,0,0
Shropshire,123589,"The Thomas Adams School, Wem",Voluntary Controlled School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124395,Norton Canes High School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124395,Norton Canes High School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124397,Kingsmead School,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,8,0,2,5,0,1,0,0
