"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Triple Distinction Star,Double Distinction Star Distinction,Distinction Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Birmingham,103481,Waverley School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,8,2,2,0,0,2,2,0,0,0,0
Birmingham,103493,Bordesley Green Girls' School & Sixth Form,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,18,3,3,3,4,2,1,1,0,0,1
Birmingham,103513,Cockshut Hill Technology College,Community School,Pearson BTEC Level 3 Extended Diploma,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103514,Swanshurst School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,17,0,1,0,1,0,0,0,3,2,10
Birmingham,103560,Bishop Challoner Catholic College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103740,Ernesford Grange Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,7,0,0,0,2,0,3,0,0,1,1
Coventry,103740,Ernesford Grange Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Photography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104118,Smith's Wood Sports College,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104386,Highfields School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,10,4,1,0,0,2,2,1,0,0,0
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,6,3,2,0,1,0,0,0,0,0,0
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,20,5,5,1,4,4,1,0,0,0,0
Wolverhampton,104397,Moreton Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Dance: General,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104693,Alsop High School Technology & Applied Learning Specialist College,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,6,0,2,2,1,1,0,0,0,0,0
Liverpool,104702,Parklands High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104702,Parklands High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104830,Rainhill High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Dance: General,13,12,1,0,0,0,0,0,0,0,0
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Health Studies,7,5,0,0,0,1,0,0,1,0,0
Bolton,105253,Turton School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,10,1,1,1,1,4,1,1,0,0,0
Bolton,105261,Rivington and Blackrod High School,Voluntary Controlled School,Pearson BTEC Level 3 Extended Diploma,Health Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Multimedia,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,9,3,1,1,0,0,3,0,0,1,0
Manchester,105556,Parrs Wood High School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,13,1,0,2,0,0,4,0,2,4,0
Manchester,105571,Newall Green High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Public Services,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105601,Abbey College Manchester,Independent School,Pearson BTEC Level 3 Extended Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Salford,105976,Irlam and Cadishead College,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,10,2,4,0,0,0,0,3,0,0,1
Trafford,106376,Blessed Thomas Holford Catholic College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,7,5,0,0,0,0,2,0,0,0,0
Doncaster,106788,Mexborough School,Community School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,Pearson BTEC Level 3 Extended Diploma,Art & Design,8,0,1,0,2,1,1,2,0,1,0
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,56,32,5,3,2,2,3,4,1,0,4
