"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Hampshire,136652,The Arnewood School Academy,Academy,VTCT Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Hampshire,136652,The Arnewood School Academy,Academy,VTCT Level 3 NVQ Diploma in Beauty Therapy Massage (QCF),Massage Techniques (Personal Health),7,0,0,0,7,0
Medway,136662,Sir Joseph Williamson's Mathematical School,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Medway,136662,Sir Joseph Williamson's Mathematical School,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Academy,City & Guilds Level 3 Award in Body Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Plymouth,136668,Lipson Co-operative Academy,Academy,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Beauty Therapy,1,Supp,Supp,Supp,Supp,Supp
Plymouth,136668,Lipson Co-operative Academy,Academy,Pearson EDI Level 3 Diploma in IT User Skills (ITQ) (QCF),Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp
Plymouth,136668,Lipson Co-operative Academy,Academy,City & Guilds Level 3 NVQ Diploma in Nail Services (QCF),Manicure,2,Supp,Supp,Supp,Supp,Supp
Plymouth,136668,Lipson Co-operative Academy,Academy,City & Guilds Level 3 Diploma in ICT Professional Competence (QCF),Systems / Network Management,5,Supp,Supp,Supp,Supp,Supp
Cumbria,136671,Kirkbie Kendal School,Academy,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,2,Supp,Supp,Supp,Supp,Supp
Cumbria,136671,Kirkbie Kendal School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,4,Supp,Supp,Supp,Supp,Supp
Doncaster,136675,Rossington All Saints Academy,Sponsored Academy,NULL,First Aid,1,Supp,Supp,Supp,Supp,Supp
Doncaster,136675,Rossington All Saints Academy,Sponsored Academy,VTCT Level 3 Diploma in Women's Hairdressing (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Doncaster,136675,Rossington All Saints Academy,Sponsored Academy,VTCT Level 3 Certificate in Swedish Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Doncaster,136675,Rossington All Saints Academy,Sponsored Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,7,0,0,0,7,0
County Durham,136683,The Hermitage Academy,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,37,0,0,0,37,0
County Durham,136683,The Hermitage Academy,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,6,0,0,0,0,6
Staffordshire,136685,Martec Training,Independent School,City & Guilds Level 3 Diploma in Accident Repair Body Principles (QCF),Vehicle Body Maintenance / Repair,1,Supp,Supp,Supp,Supp,Supp
Staffordshire,136685,Martec Training,Independent School,City & Guilds Level 3 Diploma in in Accident Repair Body Competence (QCF),Vehicle Body Maintenance / Repair,1,Supp,Supp,Supp,Supp,Supp
Hampshire,136719,The Burgate School and Sixth Form,Academy,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Bexley,136720,Welling School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,10,0,0,0,10,0
North Somerset,136722,Backwell School,Academy,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136723,Wycombe High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,5,2,0,0
Gloucestershire,136725,Cheltenham Bournside School and Sixth Form Centre,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
North Yorkshire,136728,Norton College,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,2,Supp,Supp,Supp,Supp,Supp
Liverpool,136735,St Edward's College,Academy,VTCT Level 3 Certificate in Fashion and Photographic Make-Up (QCF),Makeup,1,Supp,Supp,Supp,Supp,Supp
Liverpool,136735,St Edward's College,Academy,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,91,0,0,0,91,0
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,City & Guilds Level 3 Award in Indian Head Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,5,Supp,Supp,Supp,Supp,Supp
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,6,0,0,0,6,0
Essex,136758,West Hatch High School,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Essex,136758,West Hatch High School,Academy,ILM Level 3 Award in Enterprise and Entrepreneurship (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Essex,136758,West Hatch High School,Academy,VTCT Level 3 Certificate in Sports Massage Therapy  (QCF),Sports Massage,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136767,Ribston Hall High School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Hillingdon,136768,Uxbridge High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136772,Cleeve School,Academy,NULL,First Aid,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136781,Sir William Borlase's Grammar School,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Suffolk,136782,Thomas Mills High School,Academy,"ITEC Level 3 Diploma in Anatomy, Physiology and Pathology (QCF)",Anatomy (Human),1,Supp,Supp,Supp,Supp,Supp
Somerset,136783,The Kings of Wessex Academy,Academy,CYQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds  Level 3 Extended Diploma in Animal Management (QCF),Animal Husbandry: Specific Animals,2,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds  Level 3 Subsidiary Diploma in Animal Management (QCF),Animal Husbandry: Specific Animals,2,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Beauty Therapy,2,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,Cskills Awards Level 3 Diploma in Bricklaying (Construction) (QCF),Brickwork/Masonry,2,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds Level 3 Diploma In Electrical Installations (Buildings and Structures) (QCF),Electrical installation (Buildings / Construction),1,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Somerset,136791,The West Somerset Community College,Academy,City & Guilds Level 3 Diploma In Plumbing Studies (QCF),Plumbing (Building Work),2,Supp,Supp,Supp,Supp,Supp
Sutton,136799,Carshalton Boys Sports College,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Sutton,136799,Carshalton Boys Sports College,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Sutton,136799,Carshalton Boys Sports College,Academy,1st4sport Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Sutton,136800,Greenshaw High School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,11,0,0,0,11,0
Suffolk,136827,Copleston High School,Academy,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,9,0,0,0,9,0
Suffolk,136827,Copleston High School,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,6,0,0,0,6,0
Suffolk,136827,Copleston High School,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,6,0,0,0,6,0
Poole,136850,Poole Grammar School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Thurrock,136854,Gable Hall School,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
North Somerset,136856,Gordano School,Academy,McDonald's Level 3 Diploma in Shift Management (QCF),Administrative Management,1,Supp,Supp,Supp,Supp,Supp
North Somerset,136856,Gordano School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
Essex,136863,Moulsham High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
Medway,136864,Rainham Mark Grammar School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,13,0,0,3,10,0
Reading,136876,Prospect School,Academy,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Reading,136876,Prospect School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,4,Supp,Supp,Supp,Supp,Supp
Birmingham,136882,Aston Manor Academy,Academy,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,8,0,0,0,8,0
Wandsworth,136883,Chestnut Grove School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,13,0,0,0,13,0
Buckinghamshire,136884,Aylesbury Grammar School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136884,Aylesbury Grammar School,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136884,Aylesbury Grammar School,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Wokingham,136891,The Piggott School,Academy,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,11,0,0,0,11,0
Wokingham,136891,The Piggott School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,3,Supp,Supp,Supp,Supp,Supp
Wokingham,136891,The Piggott School,Academy,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,11,0,0,0,11,0
Wirral,136895,The Oldershaw Academy,Academy,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,3,Supp,Supp,Supp,Supp,Supp
North Yorkshire,136896,Rossett School,Academy,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,1,Supp,Supp,Supp,Supp,Supp
Worcestershire,136898,Haybridge High School and Sixth Form,Academy,RSL Level 3 Subsidiary Diploma for Music Practitioners (QCF),Music performance: Group,1,Supp,Supp,Supp,Supp,Supp
Worcestershire,136898,Haybridge High School and Sixth Form,Academy,Sports Leaders UK Level 3 Certificate in Basic Expedition Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Surrey,136906,George Abbot School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,4,Supp,Supp,Supp,Supp,Supp
Birmingham,136908,Fairfax,Academy,City & Guilds Level 3 Certificate In Knowledge of Policing (QCF),Police Services,1,Supp,Supp,Supp,Supp,Supp
Solihull,136909,Heart of England School,Academy,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,2,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,136910,Tiffin School,Academy,Sports Leaders UK Level 3 Certificate in Basic Expedition Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Sutton,136914,Glenthorne High School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,19,0,0,0,19,0
Worcestershire,136925,Pershore High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,1,3,3,0
Worcestershire,136925,Pershore High School,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,4,Supp,Supp,Supp,Supp,Supp
Worcestershire,136927,Droitwich Spa High School and Sixth Form Centre,Academy,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,2,Supp,Supp,Supp,Supp,Supp
Birmingham,136944,Birmingham Ormiston Academy,Sponsored Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,10,0,0,0,10,0
Staffordshire,136959,The Cheadle Academy,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,50,0,0,0,50,0
Coventry,136963,Finham Park School,Academy,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,102,0,0,0,102,0
Coventry,136963,Finham Park School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,3,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136964,Great Marlow School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136964,Great Marlow School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,6,0,0,3,3,0
Buckinghamshire,136964,Great Marlow School,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136964,Great Marlow School,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Suffolk,136969,Kesgrave High School,Academy,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Suffolk,136969,Kesgrave High School,Academy,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
County Durham,136971,Park View School,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,2,Supp,Supp,Supp,Supp,Supp
Derbyshire,136972,Queen Elizabeth's Grammar School,Academy,City & Guilds Level 3 90-Credit Diploma in Horse Management (QCF),Horses / Ponies Keeping,1,Supp,Supp,Supp,Supp,Supp
Swindon,136980,St Joseph's Catholic College,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,6,0,0,0,6,0
Gloucestershire,136982,St Peter's Catholic High School and Sixth Form Centre,Academy,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,136986,The Coleshill School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,13,0,0,0,13,0
Cambridgeshire,136992,Longsands Academy,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,5,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136992,Longsands Academy,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,15,0,0,0,15,0
Wakefield,137011,"Minsthorpe Community College, A Specialist Science College",Academy,Pearson Edexcel Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,5,Supp,Supp,Supp,Supp,Supp
Wakefield,137011,"Minsthorpe Community College, A Specialist Science College",Academy,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,2,Supp,Supp,Supp,Supp,Supp
Wakefield,137011,"Minsthorpe Community College, A Specialist Science College",Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,66,0,0,0,66,0
Calderdale,137036,Hipperholme and Lightcliffe High School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Calderdale,137036,Hipperholme and Lightcliffe High School,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,2,Supp,Supp,Supp,Supp,Supp
Calderdale,137036,Hipperholme and Lightcliffe High School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,20,0,0,0,20,0
Birmingham,137045,King Edward VI Camp Hill School for Boys,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Essex,137048,Mayflower High School,Academy,VTCT Level 3 NVQ Diploma in Beauty Therapy Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Birmingham,137053,Plantsbrook School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,39,0,0,0,39,0
Essex,137072,Hylands School,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Harrow,137075,Park High School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,2,Supp,Supp,Supp,Supp,Supp
Leeds,137083,Abbey Grange Church of England Academy,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Peterborough,137084,The Voyager Academy,Sponsored Academy,VTCT Level 3 Certificate in Swedish Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Northamptonshire,137087,Campion School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,3,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137090,The Chauncy School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Norfolk,137092,Diss High School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,15,0,0,0,14,1
Enfield,137094,Enfield Grammar School,Academy,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp
Cumbria,137107,Kirkby Stephen Grammar School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,6,0,0,0,6,0
Hertfordshire,137110,Longdean School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,3,Supp,Supp,Supp,Supp,Supp
Nottinghamshire,137112,South Nottinghamshire Academy,Sponsored Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,6,0,0,0,6,0
Medway,137119,The Hundred of Hoo Academy,Sponsored Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Devon,137124,Newton Abbot College,Academy,City & Guilds Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,15,0,0,0,15,0
Devon,137124,Newton Abbot College,Academy,VTCT Level 3 NVQ Diploma in Professional Cookery (QCF),Food Preparation (General),2,Supp,Supp,Supp,Supp,Supp
Devon,137124,Newton Abbot College,Academy,VTCT Level 3 Diploma in Women's Hairdressing (QCF),Hairdressing Services,8,0,0,0,8,0
Devon,137124,Newton Abbot College,Academy,City & Guilds Level 3 Diploma in Health & Social Care (Adults) for England (QCF),Health Studies,4,Supp,Supp,Supp,Supp,Supp
Devon,137124,Newton Abbot College,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,3,Supp,Supp,Supp,Supp,Supp
Surrey,137137,Rydens Enterprise School and Sixth Form College,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,18,0,0,0,18,0
Surrey,137137,Rydens Enterprise School and Sixth Form College,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Bexley,137138,Bexleyheath Academy,Sponsored Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,5,Supp,Supp,Supp,Supp,Supp
North Yorkshire,137139,St Aidan's Church of England High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,1,2,4,0
Havering,137145,St Edward's Church of England School & Sixth Form College,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Essex,137152,Ormiston Rivers Academy,Sponsored Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,3,Supp,Supp,Supp,Supp,Supp
County Durham,137153,Teesdale School,Academy,NOCN Level 3 Award in Progression (QCF),Self Development,45,0,0,0,45,0
Hammersmith and Fulham,137157,The London Oratory School,Academy,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,1,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,137157,The London Oratory School,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Leicestershire,137161,The Robert Smyth Academy,Academy,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,18,0,0,0,18,0
Dorset,137163,The Thomas Hardye School,Academy,City & Guilds  Level 3 Certificate in Animal Management (QCF),Animal Husbandry: Specific Animals,3,Supp,Supp,Supp,Supp,Supp
Dorset,137163,The Thomas Hardye School,Academy,City & Guilds  Level 3 Subsidiary Diploma in Animal Management (QCF),Animal Husbandry: Specific Animals,1,Supp,Supp,Supp,Supp,Supp
Devon,137176,Coombeshead Academy,Academy,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp
Devon,137176,Coombeshead Academy,Academy,OCR Level 3 Certificate for Creative iMedia (QCF),Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp
Devon,137176,Coombeshead Academy,Academy,OCR Level 3 Diploma for Creative iMedia (QCF),Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp
Devon,137176,Coombeshead Academy,Academy,VTCT Level 3 NVQ Diploma in Professional Cookery (QCF),Food Preparation (General),6,0,0,0,6,0
Devon,137176,Coombeshead Academy,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,8,0,0,0,8,0
Harrow,137204,Hatch End High School,Academy,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,77,0,0,0,77,0
Cumbria,137205,Dallam School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,3,Supp,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Academy,City & Guilds  Level 3 Subsidiary Diploma in Animal Management (QCF),Animal Husbandry: Specific Animals,1,Supp,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Academy,"ABC Level 3 Foundation Diploma in Art, Design and Media",Art & Design,1,Supp,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Academy,Pearson Edexcel Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,5,Supp,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Academy,City & Guilds Level 3 NVQ Diploma in Nail Services (QCF),Manicure,1,Supp,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Academy,City & Guilds Level 3 Diploma in ICT Professional Competence (QCF),Systems / Network Management,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137215,The Chalfonts Community College,Academy,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137215,The Chalfonts Community College,Academy,VTCT Level 3 NVQ Diploma in Beauty Therapy Massage (QCF),Massage Techniques (Personal Health),10,0,0,0,10,0
Buckinghamshire,137219,Dr Challoner's High School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,15,0,2,11,2,0
Cornwall,137223,Falmouth School,Academy,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,9,0,0,0,9,0
Cornwall,137223,Falmouth School,Academy,VTCT Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,3,Supp,Supp,Supp,Supp,Supp
Cornwall,137223,Falmouth School,Academy,OCR Level 3 Award in Supporting Teaching and Learning in Schools (QCF),School Support Work / Helpers,4,Supp,Supp,Supp,Supp,Supp
Cornwall,137223,Falmouth School,Academy,OCR Level 3 Certificate in Supporting Teaching and Learning in Schools (QCF),School Support Work / Helpers,2,Supp,Supp,Supp,Supp,Supp
East Sussex,137232,Ringmer Community College,Academy,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,137235,Stratford Girls' Grammar School,Academy,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Essex,137240,The Sandon School,Academy,City & Guilds Level 3 Certificate in Photo Journalism (QCF),Photography,1,Supp,Supp,Supp,Supp,Supp
Cumbria,137251,Appleby Grammar School,Academy,City & Guilds Level 3 NVQ Diploma in Business and Administration (QCF),Administrative Management,4,Supp,Supp,Supp,Supp,Supp
Cumbria,137251,Appleby Grammar School,Academy,City & Guilds Level 3 NVQ Diploma in Customer Service (QCF),Customer Care,1,Supp,Supp,Supp,Supp,Supp
Cumbria,137254,Caldew School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,8,0,0,1,7,0
Buckinghamshire,137256,Sir William Ramsay School,Academy,VTCT Level 3 Award in Airbrush Make-Up (QCF),Makeup,4,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137256,Sir William Ramsay School,Academy,VTCT Level 3 NVQ Diploma in Beauty Therapy Massage (QCF),Massage Techniques (Personal Health),4,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137256,Sir William Ramsay School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,4,Supp,Supp,Supp,Supp,Supp
Slough,137259,Baylis Court School,Academy,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,137267,Ranelagh School,Academy,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,137267,Ranelagh School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,0,2,5,0
Hertfordshire,137270,Sir John Lawes School,Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,12,0,0,1,11,0
Buckinghamshire,137280,Chiltern Hills Academy,Sponsored Academy,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137282,University Academy Holbeach,Sponsored Academy,McDonald's Level 3 Diploma in Shift Management (QCF),Administrative Management,2,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137282,University Academy Holbeach,Sponsored Academy,VTCT Level 3 NVQ Diploma in Spa Therapy (QCF),Beauty Therapy,2,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137282,University Academy Holbeach,Sponsored Academy,CSkills Awards Level 3 Diploma in Bricklaying (QCF),Brickwork/Masonry,1,Supp,Supp,Supp,Supp,Supp
