"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,4,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,4,Supp,Supp,Supp,Supp,Supp
Liverpool,104705,"Archbishop Blanch CofE VA High School, A Technology College and Training School",Voluntary Aided School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,3,Supp,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,3,Supp,Supp,Supp,Supp,Supp
Liverpool,104712,St Julie's Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,38,0,0,0,38,0
Liverpool,104713,"Broughton Hall High School, A Technology College",Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,8,0,0,0,8,0
Liverpool,104714,Cardinal Heenan Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,50,0,0,0,50,0
Liverpool,104714,Cardinal Heenan Catholic High School,Voluntary Aided School,1st4sport Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,2,Supp,Supp,Supp,Supp,Supp
Liverpool,104715,St John Bosco Arts College,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,50,0,0,0,50,0
Liverpool,104717,Archbishop Beck Catholic Sports College,Voluntary Aided School,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,3,Supp,Supp,Supp,Supp,Supp
Liverpool,104717,Archbishop Beck Catholic Sports College,Voluntary Aided School,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,3,Supp,Supp,Supp,Supp,Supp
Liverpool,104717,Archbishop Beck Catholic Sports College,Voluntary Aided School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,3,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,9,0,0,0,9,0
St. Helens,104829,Cowley International College,Community School,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,9,0,0,0,9,0
St. Helens,104829,Cowley International College,Community School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,9,0,0,0,9,0
Sefton,104960,Maricourt Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,111,0,0,0,111,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,99,0,0,0,99,0
Sefton,104962,Holy Family Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,8,0,0,0,8,0
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,57,0,0,0,57,0
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,4,Supp,Supp,Supp,Supp,Supp
Wirral,105106,Bebington High Sports College,Foundation School,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,15,0,0,0,15,0
Wirral,105106,Bebington High Sports College,Foundation School,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,15,0,0,0,15,0
Wirral,105106,Bebington High Sports College,Foundation School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,15,0,0,0,15,0
Wirral,105107,South Wirral High School,Foundation School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Wirral,105107,South Wirral High School,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,4,Supp,Supp,Supp,Supp,Supp
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,6,0,0,0,6,0
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - Massage (QCF),Massage Techniques (Personal Health),6,0,0,0,6,0
Wirral,105123,Birkenhead School,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Wirral,105123,Birkenhead School,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Bolton,105253,Turton School,Community School,OCR Level 3 Award in ICT Systems and Principles for Professionals (PROCOM) (QCF),Systems / Network Management,6,0,0,0,6,0
Bolton,105267,Canon Slade CofE School,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,VTCT Level 3 Diploma in Beauty Therapy Treatments (QCF),Beauty Therapy,3,Supp,Supp,Supp,Supp,Supp
