"Number of students passing a double award OCR Cambridge technical diploma or technical subsidiary diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Double Star,Star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double Pass
Norfolk,136204,The Thetford Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Business Studies,6,0,2,1,3,0,0,0
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,14,7,2,0,2,1,1,1
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136317,Sandwich Technology School,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Sports Studies,10,5,1,0,1,0,2,1
Kent,136324,Fulston Manor School,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,136352,Gosforth Academy,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,14,4,1,1,3,5,0,0
Newcastle upon Tyne,136352,Gosforth Academy,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136382,Chatham & Clarendon Grammar School,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,17,14,0,3,0,0,0,0
Kent,136382,Chatham & Clarendon Grammar School,Converter Academy,OCR Cambridge Technical Diploma at Level 3,Sports Studies,8,7,1,0,0,0,0,0
Kent,136382,Chatham & Clarendon Grammar School,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,136462,Ossett Academy and Sixth Form College,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,7,2,1,2,2,0,0,0
Wakefield,136462,Ossett Academy and Sixth Form College,Converter Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
