"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Cambridgeshire,139272,Neale-Wade Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sandwell,139328,The ACE Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Sandwell,139328,The ACE Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,0,0,4,3
South Gloucestershire,139345,Downend School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Kent,139542,Wrotham School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,9,2,1,0
Devon,139553,The Ilfracombe Church of England Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,11,2,0,2,7
Devon,139553,The Ilfracombe Church of England Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,1,0,2,5
Devon,139553,The Ilfracombe Church of England Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,9,4,0,5,0
Devon,139553,The Ilfracombe Church of England Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,8,3,2,3,0
Northamptonshire,139819,Weavers Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Northamptonshire,139819,Weavers Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,0,0,0,6
Birmingham,139841,Broadway Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,4,3,6,0
Wokingham,139853,Forest School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Wokingham,139853,Forest School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,10,10,0,0,0
Wokingham,139853,Forest School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,12,1,4,0
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,4,2,1,1
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,1,5,5,1
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,139946,Oasis Academy Hextable,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Kent,139946,Oasis Academy Hextable,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,12,0,0,2,10
Kent,139946,Oasis Academy Hextable,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Kent,139946,Oasis Academy Hextable,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,0,0,0,12
Nottinghamshire,139956,Holgate Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,5,2,3,2
Plymouth,140104,Eggbuckland Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,7,0,1,5,1
Plymouth,140104,Eggbuckland Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Staffordshire,140123,Alleyne's Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
