"Number of students passing a BTEC 90 credit diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Dorset,113874,The Grange School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,12,6,1,0,0,3,0,2
Dorset,113883,Queen Elizabeth's School,Voluntary Controlled School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113883,Queen Elizabeth's School,Voluntary Controlled School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114310,Durham Sixth Form Centre,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,7,5,2,0,0,0,0,0
County Durham,114310,Durham Sixth Form Centre,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114311,Durham Community Business College for Technology and Enterprise,Community School,Pearson BTEC Level 3 90-credit Diploma,Public Services,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114611,Cardinal Newman Catholic School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114619,Hamilton Lodge School for Deaf Children,Non-Maintained Special School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114657,Bede's Senior School,Independent School,Pearson BTEC Level 3 90-credit Diploma,Music Technology (Electronic),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114657,Bede's Senior School,Independent School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,115368,Cecil Jones College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115375,Brentwood County High School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115437,Guru Gobind Singh Khalsa College,Independent School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115721,Beaufort Community School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115758,Rednock School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,116929,South Bromsgrove Community High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,117012,Bromsgrove School,Independent School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117512,Adeyfield School,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117518,Barnwell School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117552,The Astley Cooper School,Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117657,Immanuel College,Independent School,Pearson BTEC Level 3 90-credit Diploma,Music Studies (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118080,South Holderness Technology College,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118082,Hornsea School and Language College,Community School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118793,Swadelands School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118832,The North School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118832,The North School,Community School,Pearson BTEC Level 3 90-credit Diploma,Public Services,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118835,Maidstone Grammar School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,118908,St John Fisher Catholic Comprehensive School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,10,8,0,0,2,0,0,0
Medway,118908,St John Fisher Catholic Comprehensive School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Public Services,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,118908,St John Fisher Catholic Comprehensive School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118918,St Anselm's Catholic School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118928,Northfleet Technology College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Music Studies (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118931,Dover Grammar School for Boys,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118933,St John's Catholic Comprehensive,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118933,St John's Catholic Comprehensive,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118940,Dover College,Independent School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119707,Ashton Community Science College,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119722,Alder Grange Community and Technology School,Community School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
