"Number of students entered for the AQA Baccalaureate by institution, subject and grade achieved",,,,,,,,,
,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Distinction,Merit,Pass,No results
Cumbria,136902,Keswick School,Academy,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Worcestershire,136927,Droitwich Spa High School and Sixth Form Centre,Academy,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Gloucestershire,136960,Chipping Campden School,Academy,AQA Baccalaureate Core,26,0,17,6,3
Suffolk,136969,Kesgrave High School,Academy,AQA Baccalaureate Core,9,3,5,0,1
Birmingham,137043,King Edward VI Aston School,Academy,AQA Baccalaureate Core,13,6,7,0,0
Birmingham,137044,King Edward VI Camp Hill School for Girls,Academy,AQA Baccalaureate Core,10,2,7,1,0
Birmingham,137046,King Edward VI Five Ways School,Academy,AQA Baccalaureate Core,6,2,3,1,0
Hillingdon,137078,Hewens College,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Gloucestershire,137097,Farmor's School,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
North Yorkshire,137139,St Aidan's Church of England High School,Academy,AQA Baccalaureate Core,8,7,1,0,0
Dorset,137163,The Thomas Hardye School,Academy,AQA Baccalaureate Core,22,6,10,5,1
Devon,137176,Coombeshead Academy,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Kent,137227,Wilmington Grammar School for Boys,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Warwickshire,137235,Stratford Girls' Grammar School,Academy,AQA Baccalaureate Core,96,30,57,9,0
Trafford,137289,Altrincham Grammar School for Girls,Academy,AQA Baccalaureate Core,39,9,25,3,2
Somerset,137313,Sexey's School,Academy,AQA Baccalaureate Core,6,0,4,2,0
Kirklees,137352,Shelley College,Academy,AQA Baccalaureate Core,23,0,6,7,10
Kent,137474,Barton Court Grammar School,Academy,AQA Baccalaureate Core,13,3,6,4,0
Northumberland,137598,Berwick Academy,Academy,AQA Baccalaureate Core,16,1,7,8,0
County Durham,137696,Framwellgate School Durham,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Bexley,137769,Townley Grammar School,Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Kent,137834,"Mayfield Grammar School, Gravesend",Academy,AQA Baccalaureate Core,85,7,39,26,13
Kent,137837,The Folkestone School for Girls,Academy,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Suffolk,137849,St Alban's Catholic High School,Academy,AQA Baccalaureate Core,14,1,4,7,2
Essex,137877,Shenfield High School,Academy,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Norfolk,137913,"Notre Dame High School, Norwich",Academy,AQA Baccalaureate Core,16,1,11,3,1
Liverpool,137916,The Blue Coat School,Academy,AQA Baccalaureate Core,48,10,17,7,14
Birmingham,137988,Bishop Vesey's Grammar School,Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Cheshire West and Chester,138318,Neston High School,Academy,AQA Baccalaureate Core,10,0,1,1,8
Kent,138480,The Harvey Grammar School,Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Oxfordshire,138667,Lord Williams's School,Academy,AQA Baccalaureate Core,6,3,2,1,0
Essex,138734,"Joyce Frankland Academy, Newport",Academy,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Oxfordshire,138817,The Marlborough Church of England School,Academy,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Leicestershire,138894,Guthlaxton College Wigston,Academy,AQA Baccalaureate Core,9,1,1,3,4
Wirral,139144,Calday Grange Grammar School,Academy,AQA Baccalaureate Core,17,7,8,2,0
Leicestershire,139624,Beauchamp College,Academy,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Liverpool,139686,Liverpool College,Sponsored Academy,AQA Baccalaureate Core,30,2,20,4,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
