"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Pre-U Principal Subject,Art & Design (Fine Art),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Pre-U Principal Subject,Economics,7,0,0,1,0,2,0,1,1,0,2
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Pre-U Principal Subject,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,130845,Worthing College,General Further Education College,Pre-U Principal Subject,General Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,Economics,17,0,0,1,6,1,2,3,4,0,0
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,English Literature,8,0,0,1,1,1,2,2,0,1,0
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,General Studies,33,0,0,4,4,6,11,3,2,2,1
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,Geography,7,0,0,0,1,0,3,0,2,1,0
Hackney,131062,The Petchey Academy,Sponsored Academy,Pre-U Principal Subject,History,6,0,1,1,2,0,2,0,0,0,0
