"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Brighton and Hove,114611,Cardinal Newman Catholic School,Voluntary Aided School,Applied GCE Double Award,Applied ICT,7,0,0,0,1,1,1,2,1,0,1,0,0
East Sussex,114656,Buckswood School,Independent School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115431,Trinity School,Independent School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115721,Beaufort Community School,Foundation School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117515,Barclay School,Community School,Applied GCE Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117528,The Cavendish School,Community School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118785,Dartford Science & Technology College,Community School,Applied GCE Double Award,Applied Business,6,0,1,0,0,0,0,1,2,1,0,1,0
Kent,118785,Dartford Science & Technology College,Community School,Applied GCE Double Award,Health & Social Care,11,0,1,0,2,1,2,1,0,3,1,0,0
Kent,118903,Hugh Christie Technology College,Foundation School,Applied GCE Double Award,Applied Business,11,0,1,1,2,1,2,3,0,0,0,1,0
Kent,118903,Hugh Christie Technology College,Foundation School,Applied GCE Double Award,Travel & Tourism,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118904,St Simon Stock Catholic School,Voluntary Aided School,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118978,Bethany School,Independent School,Applied GCE Double Award,Applied Business,10,0,1,1,2,1,2,1,1,0,0,0,1
Kent,119001,Kent College (Canterbury),Independent School,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119761,Morecambe Community High School,Community School,Applied GCE Double Award,Applied Business,6,0,0,0,1,0,0,1,1,1,0,0,2
Leicestershire,120261,Longslade Community College,Community School,Applied GCE Double Award,Health & Social Care,14,0,1,0,2,0,1,2,4,1,2,1,0
Norfolk,121151,Northgate High School,Community School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,121172,City of Norwich School,Community School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,121182,Dereham Neatherd High School,Community School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121667,Caedmon College Whitby,Community School,Applied GCE Double Award,Health & Social Care,10,0,1,1,2,1,3,2,0,0,0,0,0
York,121673,Huntington School,Community School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121680,Richmond School,Community School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121687,King James's School,Community School,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,Applied GCE Double Award,Applied Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,13,0,1,1,1,2,1,1,0,5,1,0,0
York,121711,Joseph Rowntree School,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121717,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121717,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
York,121720,All Saints RC School,Voluntary Aided School,Applied GCE Double Award,Applied Business,9,0,1,0,1,0,3,2,1,0,0,0,1
York,121720,All Saints RC School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,1,1,0,1,2,1,0,0
Northumberland,122367,St Benet Biscop Catholic Voluntary Aided High School,Voluntary Aided School,Applied GCE Double Award,Applied Business,10,0,1,0,2,2,3,1,0,0,0,0,1
Northumberland,122367,St Benet Biscop Catholic Voluntary Aided High School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,12,0,0,0,1,0,4,3,0,2,2,0,0
Nottinghamshire,122908,Worksop College,Independent School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Telford and Wrekin,123627,Thomas Telford School,City Technology College,Applied GCE Double Award,Health & Social Care,7,0,0,0,3,3,0,0,1,0,0,0,0
Somerset,123862,Frome Community College,Community School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124395,Norton Canes High School,Community School,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124397,Kingsmead School,Foundation School,Applied GCE Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,Applied GCE Double Award,Applied Art & Design,7,1,0,1,2,2,0,0,1,0,0,0,0
Staffordshire,124425,Cheslyn Hay Sport and Community High School,Community School,Applied GCE Double Award,Applied Art & Design,8,1,4,0,1,0,2,0,0,0,0,0,0
Staffordshire,124425,Cheslyn Hay Sport and Community High School,Community School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124430,Thomas Alleyne's High School,Community School,Applied GCE Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124802,Thurston Community College,Community School,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,3,1,1,0,1,0,0,0
Suffolk,124818,Stowmarket High School,Community School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124840,Northgate High School,Community School,Applied GCE Double Award,Applied Science,7,0,0,0,0,0,0,1,2,1,2,0,1
Warwickshire,125748,North Leamington School,Community School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126081,The Angmering School,Community School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126088,Imberhorne School,Community School,Applied GCE Double Award,Applied Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126088,Imberhorne School,Community School,Applied GCE Double Award,Health & Social Care,9,0,0,0,1,2,0,2,1,3,0,0,0
West Sussex,126088,Imberhorne School,Community School,Applied GCE Double Award,Travel & Tourism,6,0,0,0,0,1,2,2,1,0,0,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126448,Melksham Oak Community School,Community School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126448,Melksham Oak Community School,Community School,Applied GCE Double Award,Applied ICT,11,0,0,1,1,0,4,3,1,1,0,0,0
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,Applied GCE Double Award,Applied Science,21,0,0,0,0,0,1,3,4,6,5,1,1
