"Number of students passing a BTEC diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Hounslow,102545,Gunnersbury Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hounslow,102545,Gunnersbury Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,102599,Chessington Community College,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102674,Raynes Park High School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,6,2,1,2,0,0,1,0
Merton,102681,Wimbledon College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Applied Sciences,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102681,Wimbledon College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102683,Ursuline High School Wimbledon,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102683,Ursuline High School Wimbledon,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,13,7,1,1,1,0,2,1
Newham,102786,St Angela's Ursuline School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,14,1,3,0,1,5,1,3
Newham,102786,St Angela's Ursuline School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Fine Art,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newham,102787,St Bonaventure's RC School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,32,3,3,2,3,5,6,10
Newham,102787,St Bonaventure's RC School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Fine Art,8,0,2,6,0,0,0,0
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102854,Woodbridge High School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,7,4,0,2,0,1,0,0
Redbridge,102854,Woodbridge High School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,15,11,1,1,1,0,0,1
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,14,4,5,0,2,1,1,1
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Diploma,Multimedia,11,1,1,0,1,0,4,4
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102857,Valentines High School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,11,4,1,2,1,2,0,1
Redbridge,102858,Mayfield School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,26,6,11,1,6,0,1,1
Redbridge,102858,Mayfield School,Foundation School,Pearson BTEC Level 3 Diploma,Multimedia,6,0,1,1,0,4,0,0
Redbridge,102858,Mayfield School,Foundation School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102861,King Solomon High School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Multimedia,9,3,2,1,2,1,0,0
Richmond upon Thames,102947,The Royal Ballet School,Independent School,Pearson BTEC Level 3 Diploma,Dance: General,19,6,7,3,1,2,0,0
Sutton,103003,Stanley Park High School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sutton,103003,Stanley Park High School,Community School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,6,4,2,0,0,0,0,0
Sutton,103003,Stanley Park High School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,7,1,1,1,2,2,0,0
Sutton,103009,The John Fisher School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sutton,103009,The John Fisher School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103493,Bordesley Green Girls' School & Sixth Form,Community School,Pearson BTEC Level 3 Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103494,Dame Elizabeth Cadbury Technology College,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103509,Holte School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,15,5,6,1,1,1,1,0
Birmingham,103509,Holte School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,19,9,0,2,5,1,1,1
Birmingham,103509,Holte School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103513,Cockshut Hill Technology College,Community School,Pearson BTEC Level 3 Diploma,Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103513,Cockshut Hill Technology College,Community School,Pearson BTEC Level 3 Diploma,Public Services,11,1,4,1,1,2,0,2
Birmingham,103514,Swanshurst School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,8,0,2,1,1,1,1,2
Birmingham,103519,Moseley School,Foundation School,Pearson BTEC Level 3 Diploma,Applied Sciences,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103519,Moseley School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,7,0,1,3,2,1,0,0
Birmingham,103519,Moseley School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103550,Great Barr School,Foundation School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,6,3,0,0,0,2,1,0
Birmingham,103562,King's Norton Boys' School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,6,0,0,1,0,2,1,2
Birmingham,103562,King's Norton Boys' School,Foundation School,Pearson BTEC Level 3 Diploma,Tourism,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Pearson BTEC Level 3 Diploma,Applied Sciences,12,0,2,5,4,0,1,0
Coventry,103732,Foxford School and Community Arts College,Foundation School,Pearson BTEC Level 3 Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103733,Lyng Hall School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,7,0,2,3,0,1,1,0
Coventry,103733,Lyng Hall School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,8,1,1,0,0,3,0,3
Coventry,103740,Ernesford Grange Community School,Community School,Pearson BTEC Level 3 Diploma,Fine Art,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103740,Ernesford Grange Community School,Community School,Pearson BTEC Level 3 Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dudley,103871,Ellowes Hall Sports College,Foundation School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,15,13,1,0,0,0,1,0
