Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
909,Cumbria,9094900,132879,Workington Sixth Form Centre,,,,72
909,Cumbria,9096906,135621,Richard Rose Central Academy,Academy sponsor led,COMP,MIXED,87
909,Cumbria,9096907,135632,West Lakes Academy,Academy sponsor led,COMP,MIXED,77
909,Cumbria,9095411,136357,Queen Elizabeth School,Academy - converter mainstream,COMP,MIXED,174
909,Cumbria,9095404,136526,The Queen Katherine School,Academy - converter mainstream,COMP,MIXED,119
909,Cumbria,9095400,136671,Kirkbie Kendal School,Academy - converter mainstream,COMP,MIXED,88
909,Cumbria,9095401,136732,Queen Elizabeth Grammar School,Academy - converter mainstream,SEL,MIXED,108
909,Cumbria,9095414,136902,Keswick School,Academy - converter mainstream,COMP,MIXED,90
909,Cumbria,9095406,137107,Kirkby Stephen Grammar School,Academy - converter mainstream,COMP,MIXED,37
909,Cumbria,9095405,137205,Dallam School,Academy - converter mainstream,COMP,MIXED,81
909,Cumbria,9095407,137251,Appleby Grammar School,Academy - converter mainstream,COMP,MIXED,34
909,Cumbria,9095412,137252,William Howard School,Academy - converter mainstream,COMP,MIXED,154
909,Cumbria,9095413,137254,Caldew School,Academy - converter mainstream,COMP,MIXED,46
909,Cumbria,9095402,137369,Trinity School,Academy - converter mainstream,COMP,MIXED,136
916,Gloucestershire,9164015,115721,Beaufort Community School,Foundation school,COMP,MIXED,55
916,Gloucestershire,9164032,115723,Archway School,Community school,COMP,MIXED,74
916,Gloucestershire,9165407,115758,Rednock School,Foundation school,COMP,MIXED,68
916,Gloucestershire,9166003,115780,"The King's School, Gloucester",Independent,,MIXED,33
916,Gloucestershire,9166017,115787,Rendcomb College,Independent,,MIXED,30
916,Gloucestershire,9166018,115788,Wycliffe College,Independent,,MIXED,85
916,Gloucestershire,9166019,115789,Westonbirt School,Independent,,GIRLS,26
916,Gloucestershire,9166031,115793,Wynstones School,Independent,,MIXED,6
916,Gloucestershire,9166032,115794,St Edward's School,Independent,,MIXED,41
916,Gloucestershire,9166033,115795,Cheltenham College,Independent,,MIXED,108
916,Gloucestershire,9166035,115797,Dean Close School,Independent,,MIXED,113
916,Gloucestershire,9166036,115798,The Cheltenham Ladies' College,Independent,,GIRLS,151
916,Gloucestershire,9168000,130683,Gloucestershire College,General Further Education College,NA,MIXED,612
916,Gloucestershire,9168008,130686,Cirencester Tertiary College,Tertiary College,NA,MIXED,819
916,Gloucestershire,9168300,130687,Hartpury College,Agriculture and Horticulture College,NA,MIXED,562
916,Gloucestershire,9166078,134463,Focus School - Gloucester Campus,Independent,,MIXED,9
916,Gloucestershire,9166905,136016,"All Saints' Academy, Cheltenham",Academy sponsor led,COMP,MIXED,89
916,Gloucestershire,9166906,136199,Gloucester Academy,Academy sponsor led,COMP,MIXED,0
916,Gloucestershire,9165410,136292,The Cotswold Academy,Academy - converter mainstream,COMP,MIXED,93
916,Gloucestershire,9164001,136306,Sir Thomas Rich's School,Academy - converter mainstream,SEL,MIXED,157
916,Gloucestershire,9165403,136353,Pate's Grammar School,Academy - converter mainstream,SEL,MIXED,193
916,Gloucestershire,9165408,136474,Balcarras School,Academy - converter mainstream,COMP,MIXED,169
916,Gloucestershire,9165404,136578,The Crypt School,Academy - converter mainstream,SEL,MIXED,118
916,Gloucestershire,9165412,136623,Chosen Hill School,Academy - converter mainstream,COMP,MIXED,101
916,Gloucestershire,9164002,136666,High School for Girls,Academy - converter mainstream,SEL,MIXED,121
916,Gloucestershire,9165418,136725,Cheltenham Bournside School and Sixth Form Centre,Academy - converter mainstream,COMP,MIXED,158
916,Gloucestershire,9165400,136767,Ribston Hall High School,Academy - converter mainstream,SEL,MIXED,96
916,Gloucestershire,9164024,136772,Cleeve School,Academy - converter mainstream,COMP,MIXED,152
916,Gloucestershire,9165402,136874,Stroud High School,Academy - converter mainstream,SEL,GIRLS,138
916,Gloucestershire,9165414,136960,Chipping Campden School,Academy - converter mainstream,COMP,MIXED,77
916,Gloucestershire,9164600,136982,St Peter's Catholic High School and Sixth Form Centre,Academy - converter mainstream,COMP,MIXED,162
916,Gloucestershire,9165406,137033,Katharine Lady Berkeley's School,Academy - converter mainstream,COMP,MIXED,131
916,Gloucestershire,9164513,137097,Farmor's School,Academy - converter mainstream,COMP,MIXED,92
916,Gloucestershire,9165401,137123,Marling School,Academy - converter mainstream,SEL,BOYS,128
916,Gloucestershire,9165415,137382,Wyedean School and 6th Form Centre,Academy - converter mainstream,COMP,MIXED,126
916,Gloucestershire,9165409,137634,Churchdown School,Academy - converter mainstream,COMP,MIXED,78
916,Gloucestershire,9164003,137690,Millbrook Academy,Academy sponsor led,COMP,MIXED,46
916,Gloucestershire,9165405,137752,Tewkesbury School,Academy - converter mainstream,COMP,MIXED,107
916,Gloucestershire,9165411,138746,Newent Community School and Sixth Form Centre,Academy - converter mainstream,COMP,MIXED,68
916,Gloucestershire,9166002,138871,Focus School - Berkeley Campus,Independent,,MIXED,6
919,Hertfordshire,9196239,102256,Purcell School,Independent,,MIXED,35
919,Hertfordshire,9194000,117499,The Priory School,Community school,COMP,MIXED,49
919,Hertfordshire,9194005,117500,The Hemel Hempstead School,Community school,COMP,MIXED,107
919,Hertfordshire,9194010,117504,Fearnhill School,Community school,COMP,MIXED,43
919,Hertfordshire,9194029,117512,Adeyfield School,Community school,COMP,MIXED,27
919,Hertfordshire,9194047,117515,Barclay School,Community school,COMP,MIXED,51
919,Hertfordshire,9194066,117518,Barnwell School,Community school,COMP,MIXED,59
919,Hertfordshire,9194067,117519,Simon Balle School,Foundation school,COMP,MIXED,106
919,Hertfordshire,9194087,117525,Sir Frederic Osborn School,Community school,COMP,MIXED,18
919,Hertfordshire,9194100,117528,The Cavendish School,Community school,COMP,MIXED,68
919,Hertfordshire,9194104,117530,The Nobel School,Community school,COMP,MIXED,102
919,Hertfordshire,9194105,117531,Turnford School,Community school,COMP,MIXED,94
919,Hertfordshire,9194116,117534,Marriotts School,Community school,COMP,MIXED,30
919,Hertfordshire,9194122,117537,The Highfield School,Community school,COMP,MIXED,84
919,Hertfordshire,9194137,117538,Sheredes School,Community school,COMP,MIXED,40
919,Hertfordshire,9194499,117552,The Astley Cooper School,Community school,COMP,MIXED,18
919,Hertfordshire,9194606,117555,Townsend CofE School,Voluntary aided school,COMP,MIXED,31
919,Hertfordshire,9194619,117557,John F Kennedy Catholic School,Voluntary aided school,COMP,MIXED,88
919,Hertfordshire,9195405,117577,The Bishop's Stortford High School,Foundation school,COMP,MIXED,126
919,Hertfordshire,9195406,117578,Ashlyns School,Foundation school,COMP,MIXED,90
919,Hertfordshire,9195419,117591,Chancellor's School,Foundation school,COMP,MIXED,74
919,Hertfordshire,9195420,117592,The Hertfordshire & Essex High School and Science College,Foundation school,COMP,MIXED,168
919,Hertfordshire,9195422,117594,Saint Mary's Catholic School,Voluntary aided school,COMP,MIXED,72
919,Hertfordshire,9195425,117596,Cheshunt School,Foundation school,COMP,MIXED,43
919,Hertfordshire,9196003,117602,Aldenham School,Independent,,MIXED,82
919,Hertfordshire,9196005,117604,Berkhamsted School,Independent,,MIXED,147
919,Hertfordshire,9196007,117605,Bishop's Stortford College,Independent,,MIXED,110
919,Hertfordshire,9196012,117606,St Margaret's School,Independent,,GIRLS,33
919,Hertfordshire,9196015,117607,Haileybury and Imperial Service College,Independent,,MIXED,146
919,Hertfordshire,9196020,117609,Queenswood School,Independent,,GIRLS,47
919,Hertfordshire,9196028,117612,St Christopher School,Independent,,MIXED,23
919,Hertfordshire,9196029,117613,St Francis College,Independent,,GIRLS,44
919,Hertfordshire,9196033,117614,Princess Helena College,Independent,,GIRLS,20
919,Hertfordshire,9196036,117616,Merchant Taylors' School,Independent,,BOYS,134
919,Hertfordshire,9196038,117617,St Albans High School for Girls,Independent,,GIRLS,83
919,Hertfordshire,9196041,117618,Tring Park School for the Performing Arts,Independent,,MIXED,55
919,Hertfordshire,9196047,117622,Sherrardswood School,Independent,,MIXED,11
919,Hertfordshire,9196062,117623,Egerton-Rothesay School,Independent,,MIXED,1
919,Hertfordshire,9196109,117631,Rudolf Steiner School,Independent,,MIXED,14
919,Hertfordshire,9196115,117633,St Edmund's College,Independent,,MIXED,67
919,Hertfordshire,9196136,117638,St Columba's College,Independent,,BOYS,53
919,Hertfordshire,9196165,117641,Royal Masonic School for Girls,Independent,,GIRLS,81
919,Hertfordshire,9196220,117647,St Albans School,Independent,,MIXED,137
919,Hertfordshire,9196221,117648,Haberdashers' Aske's Boys' School,Independent,,BOYS,158
919,Hertfordshire,9196222,117649,Haberdashers' Aske's School for Girls,Independent,,GIRLS,121
919,Hertfordshire,9196231,117657,Immanuel College,Independent,,MIXED,49
919,Hertfordshire,9198019,130720,West Herts College,General Further Education College,NA,MIXED,1031
919,Hertfordshire,9198020,130721,North Hertfordshire College,General Further Education College,NA,MIXED,337
919,Hertfordshire,9198021,130722,Hertford Regional College,General Further Education College,NA,MIXED,558
919,Hertfordshire,9198022,130723,Oaklands College,General Further Education College,NA,MIXED,842
919,Hertfordshire,9196243,134087,St Albans Tutors,Independent,,MIXED,30
919,Hertfordshire,9196905,135876,Francis Combe Academy,Academy sponsor led,COMP,MIXED,30
919,Hertfordshire,9196906,135938,The Bushey Academy,Academy sponsor led,COMP,MIXED,33
919,Hertfordshire,9195401,136276,Watford Grammar School for Boys,Academy - converter mainstream,COMP,BOYS,167
919,Hertfordshire,9195403,136289,Watford Grammar School for Girls,Academy - converter mainstream,COMP,GIRLS,196
919,Hertfordshire,9194101,136396,The Broxbourne School,Academy - converter mainstream,COMP,MIXED,121
919,Hertfordshire,9195427,136482,Hockerill Anglo-European College,Academy - converter mainstream,COMP,MIXED,115
919,Hertfordshire,9195407,136554,Dame Alice Owen's School,Academy - converter mainstream,COMP,MIXED,215
919,Hertfordshire,9195400,136606,Rickmansworth School,Academy - converter mainstream,COMP,MIXED,140
919,Hertfordshire,9195426,136607,The John Warner School,Academy - converter mainstream,COMP,MIXED,123
919,Hertfordshire,9194016,136608,The Knights Templar School,Academy - converter mainstream,COMP,MIXED,133
919,Hertfordshire,9194197,136609,Sandringham School,Academy - converter mainstream,COMP,MIXED,151
919,Hertfordshire,9195410,136877,Queens' School,Academy - converter mainstream,COMP,MIXED,163
919,Hertfordshire,9195404,136899,Parmiter's School,Academy - converter mainstream,COMP,MIXED,194
919,Hertfordshire,9195421,136901,St Clement Danes School,Academy - converter mainstream,COMP,MIXED,150
919,Hertfordshire,9194802,136922,Yavneh College,Academy - converter mainstream,COMP,MIXED,67
919,Hertfordshire,9194070,136973,Roundwood Park School,Academy - converter mainstream,COMP,MIXED,123
919,Hertfordshire,9194141,137002,Freman College,Academy - converter mainstream,COMP,MIXED,114
919,Hertfordshire,9194011,137038,Verulam School,Academy - converter mainstream,COMP,MIXED,72
919,Hertfordshire,9194498,137090,The Chauncy School,Academy - converter mainstream,COMP,MIXED,99
919,Hertfordshire,9194080,137110,Longdean School,Academy - converter mainstream,COMP,MIXED,55
919,Hertfordshire,9195416,137156,Leventhorpe,Academy - converter mainstream,COMP,MIXED,159
919,Hertfordshire,9195411,137224,Mount Grace School,Academy - converter mainstream,COMP,MIXED,55
919,Hertfordshire,9194028,137270,Sir John Lawes School,Academy - converter mainstream,COMP,MIXED,126
919,Hertfordshire,9194009,137288,Hitchin Girls' School,Academy - converter mainstream,COMP,GIRLS,119
919,Hertfordshire,9194083,137339,St Albans Girls' School,Academy - converter mainstream,COMP,GIRLS,96
919,Hertfordshire,9195415,137532,Goffs School,Academy - converter mainstream,COMP,MIXED,95
919,Hertfordshire,9194200,137637,Birchwood High School,Academy - converter mainstream,COMP,MIXED,69
919,Hertfordshire,9194140,137656,Meridian School,Academy - converter mainstream,COMP,MIXED,33
919,Hertfordshire,9194099,137757,Bishop's Hatfield Girls' School,Academy - converter mainstream,COMP,GIRLS,52
919,Hertfordshire,9194154,137792,Onslow St Audrey's School,Academy - converter mainstream,COMP,MIXED,19
919,Hertfordshire,9194014,137847,Stanborough School,Academy - converter mainstream,COMP,MIXED,57
919,Hertfordshire,9195408,137872,Bushey Meads School,Academy - converter mainstream,COMP,MIXED,79
919,Hertfordshire,9195413,137895,The John Henry Newman Catholic School,Academy - converter mainstream,COMP,MIXED,197
919,Hertfordshire,9195418,137914,Saint Joan of Arc Catholic School,Academy - converter mainstream,COMP,MIXED,83
919,Hertfordshire,9195417,137922,Saint Michael's Catholic High School,Academy - converter mainstream,COMP,MIXED,94
919,Hertfordshire,9195412,137938,Nicholas Breakspear Catholic School,Academy - converter mainstream,COMP,MIXED,56
919,Hertfordshire,9194013,137985,Presdales School,Academy - converter mainstream,COMP,GIRLS,108
919,Hertfordshire,9195414,138042,Marlborough School,Academy - converter mainstream,COMP,MIXED,64
919,Hertfordshire,9194620,138106,Loreto College,Academy - converter mainstream,COMP,GIRLS,67
919,Hertfordshire,9194002,138225,The Da Vinci Studio School of Science and Engineering,Free school –studio school,COMP,MIXED,30
919,Hertfordshire,9194043,138286,Beaumont School,Academy - converter mainstream,COMP,MIXED,130
919,Hertfordshire,9194504,138352,Tring School,Academy - converter mainstream,COMP,MIXED,124
919,Hertfordshire,9194614,138356,St George's School,Academy - converter mainstream,COMP,MIXED,185
919,Hertfordshire,9195423,138360,St Mary's Church of England High School (VA),Academy - converter mainstream,COMP,MIXED,32
919,Hertfordshire,9194117,138484,The Sele School,Academy - converter mainstream,COMP,MIXED,23
919,Hertfordshire,9194003,138582,Samuel Ryder Academy,Academy sponsor led,COMP,MIXED,21
919,Hertfordshire,9194118,138632,Monk's Walk School,Academy - converter mainstream,COMP,MIXED,82
919,Hertfordshire,9194001,138747,Hertswood Academy,Academy - converter mainstream,COMP,MIXED,109
919,Hertfordshire,9194096,139036,Kings Langley School,Academy - converter mainstream,COMP,MIXED,77
919,Hertfordshire,9194008,139154,Hitchin Boys' School,Academy - converter mainstream,COMP,BOYS,94
919,Hertfordshire,9194004,139416,The Elstree UTC,Free school – UTC,COMP,MIXED,0
919,Hertfordshire,9194006,139873,Richard Hale School,Academy - converter mainstream,COMP,MIXED,137
919,Hertfordshire,9194012,139902,The Da Vinci Studio School of Creative Enterprise,Free school –studio school,COMP,MIXED,2
919,Hertfordshire,9194017,140037,The Thomas Alleyne School,Academy sponsor led,COMP,MIXED,19
919,Hertfordshire,9194111,140049,Westfield Academy,Academy - converter mainstream,COMP,MIXED,72
921,Isle of Wight,9216002,118223,Ryde School with Upper Chine,Independent,,MIXED,63
921,Isle of Wight,9218000,130724,The Isle of Wight College,General Further Education College,NA,MIXED,315
921,Isle of Wight,9214604,135552,Christ The King College,Voluntary aided school,COMP,MIXED,51
921,Isle of Wight,9214029,136009,Cowes Enterprise College,Foundation school,COMP,MIXED,66
921,Isle of Wight,9214030,136010,Medina College,Foundation school,COMP,MIXED,93
921,Isle of Wight,9214032,136012,Carisbrooke College,Foundation school,COMP,MIXED,72
921,Isle of Wight,9214000,136751,Sandown Bay Academy,Academy sponsor led,COMP,MIXED,130
921,Isle of Wight,9214001,136753,Ryde Academy,Academy sponsor led,COMP,MIXED,42
925,Lincolnshire,9254027,120642,Spalding High School,Community school,SEL,MIXED,98
925,Lincolnshire,9254065,120655,"The Queen Elizabeth's High School, Gainsborough",Community school,SEL,MIXED,136
925,Lincolnshire,9255405,120701,"The King Edward VI Grammar School, Louth",Foundation school,SEL,MIXED,80
925,Lincolnshire,9255417,120713,Monks' Dyke Tennyson College,Foundation school,MOD,MIXED,67
925,Lincolnshire,9256012,120724,Lincoln Minster School,Independent,,MIXED,69
925,Lincolnshire,9256027,120735,Stamford School,Independent,,BOYS,104
925,Lincolnshire,9256028,120736,Stamford High School,Independent,,GIRLS,96
925,Lincolnshire,9258000,130759,Grantham College,General Further Education College,NA,MIXED,234
925,Lincolnshire,9258001,130760,New College Stamford,General Further Education College,NA,MIXED,541
925,Lincolnshire,9258004,130761,Boston College,General Further Education College,NA,MIXED,362
925,Lincolnshire,9258006,130762,Lincoln College,General Further Education College,NA,MIXED,823
925,Lincolnshire,9254900,132933,North Hykeham Joint Sixth Form,,,,188
925,Lincolnshire,9254901,132951,Sleaford Joint Sixth Form,,,,266
925,Lincolnshire,9256905,135563,The Priory Witham Academy,Academy sponsor led,COMP,MIXED,24
925,Lincolnshire,9256906,135564,The Priory City of Lincoln Academy,Academy sponsor led,COMP,MIXED,43
925,Lincolnshire,9256907,135565,The Priory Academy LSST,Academy sponsor led,COMP,MIXED,234
925,Lincolnshire,9256909,136044,St George's Academy,Academy sponsor led,COMP,MIXED,156
925,Lincolnshire,9256910,136194,The Priory Ruskin Academy,Academy sponsor led,COMP,MIXED,17
925,Lincolnshire,9256911,136217,Skegness Academy,Academy sponsor led,COMP,MIXED,96
925,Lincolnshire,9255423,136282,The Giles Academy,Academy - converter mainstream,MOD,MIXED,62
925,Lincolnshire,9255401,136315,Queen Elizabeth's Grammar Alford - A Selective Academy,Academy - converter mainstream,SEL,MIXED,61
925,Lincolnshire,9255406,136350,Caistor Grammar School,Academy - converter mainstream,SEL,MIXED,82
925,Lincolnshire,9255418,136358,Branston Community Academy,Academy - converter mainstream,COMP,MIXED,86
925,Lincolnshire,9255415,136415,William Farr CofE Comprehensive School,Academy - converter mainstream,COMP,MIXED,130
925,Lincolnshire,9254514,136491,De Aston School,Academy - converter mainstream,COMP,MIXED,73
925,Lincolnshire,9255407,136537,Lincoln Castle Academy,Academy - converter mainstream,COMP,MIXED,67
925,Lincolnshire,9254019,136624,Walton Girls' High School & Sixth Form,Academy - converter mainstream,MOD,GIRLS,47
925,Lincolnshire,9255412,136871,North Kesteven School,Academy - converter mainstream,COMP,MIXED,102
925,Lincolnshire,9255413,137135,Sir Robert Pattinson Academy,Academy - converter mainstream,COMP,MIXED,86
925,Lincolnshire,9255402,137166,"The King's School, Grantham",Academy - converter mainstream,SEL,BOYS,122
925,Lincolnshire,9255403,137213,Carre's Grammar School,Academy - converter mainstream,SEL,MIXED,110
925,Lincolnshire,9254001,137282,University Academy Holbeach,Academy sponsor led,COMP,MIXED,75
925,Lincolnshire,9255408,137447,Lincoln Christ's Hospital School,Academy - converter mainstream,COMP,MIXED,125
925,Lincolnshire,9254000,137572,Bourne Academy,Academy - converter mainstream,MOD,MIXED,79
925,Lincolnshire,9254005,137667,Kesteven and Sleaford High School Selective Academy,Academy - converter mainstream,SEL,GIRLS,83
925,Lincolnshire,9254501,137793,Bourne Grammar School,Academy - converter mainstream,SEL,MIXED,128
925,Lincolnshire,9254010,137873,The Deepings School,Academy - converter mainstream,COMP,MIXED,109
925,Lincolnshire,9254004,138638,Kesteven and Grantham Girls' School,Academy - converter mainstream,SEL,GIRLS,159
925,Lincolnshire,9255411,138665,"Queen Elizabeth's Grammar School, Horncastle",Academy - converter mainstream,SEL,MIXED,104
925,Lincolnshire,9254072,138754,Haven High Academy,Academy - converter mainstream,COMP,MIXED,0
925,Lincolnshire,9255400,138757,Skegness Grammar School,Academy - converter mainstream,SEL,MIXED,54
925,Lincolnshire,9255420,138839,"Sir William Robertson Academy, Welbourn",Academy - converter mainstream,COMP,MIXED,22
925,Lincolnshire,9254003,139055,Cordeaux Academy,Academy sponsor led,COMP,MIXED,23
925,Lincolnshire,9254022,139140,Boston High School,Academy - converter mainstream,SEL,MIXED,81
925,Lincolnshire,9255416,139168,Sir John Gleed School,Academy - converter mainstream,MOD,MIXED,93
925,Lincolnshire,9255424,139180,The Boston Grammar School,Academy - converter mainstream,SEL,MIXED,75
925,Lincolnshire,9254603,139304,Spalding Grammar School,Academy - converter mainstream,SEL,MIXED,126
925,Lincolnshire,9255421,139623,"St Peter and St Paul, Catholic Voluntary Academy",Academy - converter mainstream,COMP,MIXED,34
926,Norfolk,9264002,121151,Northgate High School,Community school,COMP,MIXED,178
926,Norfolk,9264021,121157,Smithdon High School,Community school,COMP,MIXED,23
926,Norfolk,9264043,121162,Sprowston Community High School,Community school,COMP,MIXED,77
926,Norfolk,9264052,121167,Attleborough High School,Community school,COMP,MIXED,46
926,Norfolk,9264065,121172,City of Norwich School,Community school,COMP,MIXED,178
926,Norfolk,9264066,121173,The Hewett School,Foundation school,COMP,MIXED,52
926,Norfolk,9264070,121176,Sewell Park College,Community school,COMP,MIXED,22
926,Norfolk,9264083,121180,Thorpe St Andrew School and Sixth Form,Community school,COMP,MIXED,115
926,Norfolk,9264085,121182,Dereham Neatherd High School,Community school,COMP,MIXED,178
926,Norfolk,9264091,121185,Fakenham High School and College,Community school,COMP,MIXED,70
926,Norfolk,9264504,121187,King Edward VII School,Voluntary controlled school,COMP,MIXED,85
926,Norfolk,9266003,121222,Gresham's School,Independent,,MIXED,104
926,Norfolk,9266005,121224,Langley School,Independent,,MIXED,54
926,Norfolk,9266029,121227,Hethersett Old Hall School,Independent,,GIRLS,9
926,Norfolk,9266123,121241,Norwich High School for Girls GDST,Independent,,GIRLS,70
926,Norfolk,9266124,121242,Norwich School,Independent,,MIXED,150
926,Norfolk,9266128,121245,Thetford Grammar School,Independent,,MIXED,16
926,Norfolk,9268000,130763,The College of West Anglia,General Further Education College,NA,MIXED,640
926,Norfolk,9268003,130764,Norwich City College of Further and Higher Education,General Further Education College,NA,MIXED,979
926,Norfolk,9268005,130765,Great Yarmouth College,General Further Education College,NA,MIXED,163
926,Norfolk,9268600,130767,East Norfolk Sixth Form College,Sixth Form College,NA,MIXED,576
926,Norfolk,9268601,130768,Paston Sixth Form College,Sixth Form College,NA,MIXED,328
926,Norfolk,9264900,132908,Dereham Sixth Form College,,,,178
926,Norfolk,9264901,133685,Kett Sixth Form College,,,,106
926,Norfolk,9266153,134455,Focus School - Swaffham Campus,Independent,,MIXED,7
926,Norfolk,9266905,135650,The Open Academy,Academy sponsor led,COMP,MIXED,29
926,Norfolk,9266906,135904,City Academy Norwich,Academy sponsor led,COMP,MIXED,2
926,Norfolk,9266907,136186,Ormiston Victory Academy,Academy sponsor led,COMP,MIXED,57
926,Norfolk,9266909,136202,King's Lynn Academy,Academy sponsor led,COMP,MIXED,15
926,Norfolk,9266910,136204,The Thetford Academy,Academy sponsor led,COMP,MIXED,43
926,Norfolk,9265400,136481,Wymondham College,Academy - converter mainstream,COMP,MIXED,208
926,Norfolk,9264081,136515,Springwood High School,Academy - converter mainstream,COMP,MIXED,149
926,Norfolk,9264089,137092,Diss High School,Academy - converter mainstream,COMP,MIXED,79
926,Norfolk,9264060,137461,Wymondham High Academy Trust,Academy - converter mainstream,COMP,MIXED,165
926,Norfolk,9265406,137621,Sheringham High School,Academy - converter mainstream,COMP,MIXED,61
926,Norfolk,9264605,137913,"Notre Dame High School, Norwich",Academy - converter mainstream,COMP,MIXED,158
926,Norfolk,9264005,138039,Hellesdon High School,Academy - converter mainstream,COMP,MIXED,74
926,Norfolk,9268001,138670,Easton & Otley College,General Further Education College,NA,MIXED,340
926,Norfolk,9264042,138829,Reepham High School and College,Academy - converter mainstream,COMP,MIXED,89
926,Norfolk,9264000,138918,Nicholas Hamond Academy,Academy sponsor led,COMP,MIXED,0
926,Norfolk,9266911,139058,Iceni Academy,Academy sponsor led,COMP,MIXED,9
926,Norfolk,9264001,139204,Downham Market Academy,Academy sponsor led,COMP,MIXED,100
926,Norfolk,9264084,139487,Taverham High School,Academy - converter mainstream,COMP,MIXED,46
926,Norfolk,9264007,139896,Sir Isaac Newton Sixth Form Free School,Free school – 16-19,NA,MIXED,0
928,Northamptonshire,9284038,122059,Wollaston School,Community school,COMP,MIXED,97
928,Northamptonshire,9284052,122064,Prince William School,Community school,COMP,MIXED,114
928,Northamptonshire,9284055,122066,The Latimer Arts College,Foundation school,COMP,MIXED,52
928,Northamptonshire,9284076,122083,Northampton School for Girls,Foundation school,COMP,GIRLS,165
928,Northamptonshire,9284703,122100,Thomas Becket Catholic School,Voluntary aided school,COMP,MIXED,31
928,Northamptonshire,9286007,122129,Oundle School,Independent,,MIXED,203
928,Northamptonshire,9286010,122131,Wellingborough School,Independent,,MIXED,61
928,Northamptonshire,9286043,122137,Quinton House School,Independent,,MIXED,21
928,Northamptonshire,9286057,122144,Northampton High School,Independent,,GIRLS,55
928,Northamptonshire,9286062,122149,Bosworth Independent College,Independent,,MIXED,63
928,Northamptonshire,9286064,122151,Pitsford School,Independent,,MIXED,25
928,Northamptonshire,9288007,130769,Northampton College,General Further Education College,NA,MIXED,1035
928,Northamptonshire,9288009,130771,Tresham College of Further and Higher Education,General Further Education College,NA,MIXED,467
928,Northamptonshire,9288300,130772,Moulton College,Agriculture and Horticulture College,NA,MIXED,546
928,Northamptonshire,9286905,134814,Northampton Academy,Academy sponsor led,COMP,MIXED,73
928,Northamptonshire,9286906,135306,Corby Business Academy,Academy sponsor led,COMP,MIXED,21
928,Northamptonshire,9286907,135317,Brooke Weston Academy,Academy sponsor led,COMP,MIXED,115
928,Northamptonshire,9286908,135966,Kettering Buccleuch Academy,Academy sponsor led,COMP,MIXED,37
928,Northamptonshire,9286909,135967,Kettering Science Academy,Academy sponsor led,COMP,MIXED,44
928,Northamptonshire,9286910,136201,Malcolm Arnold Academy,Academy sponsor led,COMP,MIXED,59
928,Northamptonshire,9285404,136299,Northampton School for Boys,Academy - converter mainstream,COMP,MIXED,171
928,Northamptonshire,9284004,136488,Sponne School,Academy - converter mainstream,COMP,MIXED,81
928,Northamptonshire,9284042,136489,Guilsborough School,Academy - converter mainstream,COMP,MIXED,71
928,Northamptonshire,9284000,136948,Weston Favell Academy,Academy sponsor led,COMP,MIXED,36
928,Northamptonshire,9285400,136976,Southfield School for Girls,Academy - converter mainstream,COMP,GIRLS,71
928,Northamptonshire,9284015,137049,Montsaye Academy,Academy - converter mainstream,COMP,MIXED,56
928,Northamptonshire,9284601,137086,Bishop Stopford School,Academy - converter mainstream,COMP,MIXED,175
928,Northamptonshire,9284051,137087,Campion School,Academy - converter mainstream,COMP,MIXED,104
928,Northamptonshire,9284005,137089,Caroline Chisholm School,Academy - converter mainstream,COMP,MIXED,129
928,Northamptonshire,9285406,137613,Manor School Sports College,Academy - converter mainstream,COMP,MIXED,59
928,Northamptonshire,9284022,137614,Moulton School and Science College,Academy - converter mainstream,COMP,MIXED,98
928,Northamptonshire,9284089,137878,Chenderit School,Academy - converter mainstream,COMP,MIXED,115
928,Northamptonshire,9285409,137912,Sir Christopher Hatton School,Academy - converter mainstream,COMP,MIXED,74
928,Northamptonshire,9284017,138030,Huxlow Science College,Academy - converter mainstream,COMP,MIXED,38
928,Northamptonshire,9282022,138073,DSLV E-ACT Academy,Academy sponsor led,COMP,MIXED,48
928,Northamptonshire,9284066,138214,The Duston School,Academy - converter mainstream,COMP,MIXED,75
928,Northamptonshire,9284001,138235,The Parker E-ACT Academy,Academy sponsor led,COMP,MIXED,18
928,Northamptonshire,9284007,138858,Abbeyfield School,Academy sponsor led,COMP,MIXED,64
928,Northamptonshire,9284071,138932,Kingsthorpe College,Academy - converter mainstream,COMP,MIXED,52
928,Northamptonshire,9284008,139013,Rushden Community College,Academy sponsor led,COMP,MIXED,49
928,Northamptonshire,9284009,139060,Lodge Park Academy,Academy sponsor led,COMP,MIXED,57
928,Northamptonshire,9284041,139100,Elizabeth Woodville School,Academy - converter mainstream,COMP,MIXED,106
928,Northamptonshire,9284550,139158,Magdalen College School,Academy - converter mainstream,COMP,MIXED,86
928,Northamptonshire,9284011,139690,Silverstone UTC,Free school – UTC,COMP,MIXED,0
928,Northamptonshire,9284012,139819,Weavers Academy,Academy sponsor led,COMP,MIXED,42
928,Northamptonshire,9284013,139957,Kingswood Secondary Academy,Academy sponsor led,COMP,MIXED,62
