"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Slough,137259,Baylis Court School,Converter Academy,Key Skill at Level 3,Learning Skills,35,35
Staffordshire,137384,Cannock Chase High School,Converter Academy,Key Skill at Level 3,Teamworking,23,23
Kirklees,137424,Batley Girls' High School - Visual Arts College,Converter Academy,Key Skill at Level 3,Learning Skills,92,92
Kirklees,137424,Batley Girls' High School - Visual Arts College,Converter Academy,Key Skill at Level 3,Teamworking,23,23
Cheshire East,137449,Holmes Chapel Comprehensive School,Converter Academy,Key Skill at Level 3,Learning Skills,5,Supp
Cheshire East,137449,Holmes Chapel Comprehensive School,Converter Academy,Key Skill at Level 3,Problem Solving,4,Supp
Cheshire East,137449,Holmes Chapel Comprehensive School,Converter Academy,Key Skill at Level 3,Teamworking,6,6
Wirral,137476,Wirral Grammar School for Boys,Converter Academy,Key Skill at Level 3,Learning Skills,23,23
Bradford,137576,The Samuel Lister Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,1,Supp
Bradford,137576,The Samuel Lister Academy,Sponsored Academy,Key Skill at Level 3,Problem Solving,1,Supp
Bradford,137576,The Samuel Lister Academy,Sponsored Academy,Key Skill at Level 3,Teamworking,1,Supp
Darlington,137622,Carmel College,Converter Academy,Key Skill at Level 3,Learning Skills,126,126
Darlington,137622,Carmel College,Converter Academy,Key Skill at Level 3,Teamworking,96,96
Sandwell,137673,Ormiston Forge Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,2,Supp
County Durham,137702,St John's School & Sixth Form College - A Catholic Academy,Converter Academy,Key Skill at Level 3,Learning Skills,149,149
County Durham,137702,St John's School & Sixth Form College - A Catholic Academy,Converter Academy,Key Skill at Level 3,Teamworking,147,147
North Tyneside,137734,St Thomas More Roman Catholic Academy,Converter Academy,Key Skill at Level 3,Learning Skills,144,144
North Tyneside,137734,St Thomas More Roman Catholic Academy,Converter Academy,Key Skill at Level 3,Problem Solving,144,144
North Tyneside,137734,St Thomas More Roman Catholic Academy,Converter Academy,Key Skill at Level 3,Teamworking,143,143
Gateshead,137942,Lord Lawson of Beamish Academy,Converter Academy,Key Skill at Level 3,Teamworking,1,Supp
Leicestershire,137983,Wreake Valley Academy,Converter Academy,Key Skill at Level 3,Teamworking,2,Supp
County Durham,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Converter Academy,Key Skill at Level 3,Learning Skills,146,146
County Durham,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Converter Academy,Key Skill at Level 3,Teamworking,149,149
Northamptonshire,138214,The Duston School,Converter Academy,Key Skill at Level 3,Learning Skills,1,Supp
Liverpool,138463,St Francis Xavier's College,Converter Academy,Key Skill at Level 3,Teamworking,1,Supp
Redcar and Cleveland,138845,Nunthorpe Academy,Converter Academy,Key Skill at Level 3,Learning Skills,68,68
Wirral,139031,St John Plessington Catholic College,Converter Academy,Key Skill at Level 3,Problem Solving,117,117
Nottinghamshire,139063,Sutton Community Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,34,34
Nottinghamshire,139063,Sutton Community Academy,Sponsored Academy,Key Skill at Level 3,Teamworking,32,32
Northamptonshire,139158,Magdalen College School,Converter Academy,Key Skill at Level 3,Learning Skills,1,Supp
Northamptonshire,139158,Magdalen College School,Converter Academy,Key Skill at Level 3,Problem Solving,1,Supp
Northamptonshire,139158,Magdalen College School,Converter Academy,Key Skill at Level 3,Teamworking,14,14
Sunderland,139538,St Aidan's Catholic Academy,Converter Academy,Key Skill at Level 3,Learning Skills,42,42
