"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Manchester,135524,The Manchester College,General Further Education College,BTEC Award Level 3,Art: Specific Techniques,1,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,BTEC Award Level 3,Fine Art,1,Supp,Supp
Oxfordshire,135675,The Oxford Academy,Sponsored Academy,BTEC Award Level 3,Leisure Studies,1,Supp,Supp
Leeds,135771,Leeds City  College,General Further Education College,BTEC Award Level 3,Preparation for Work,81,81,0
Sandwell,135979,Ormiston Sandwell Community Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,BTEC Award Level 3,Childcare Skills,7,0,7
Wolverhampton,136182,North East Wolverhampton Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,7,2,2
Halton,136185,Ormiston Bolingbroke Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
Norfolk,136202,King's Lynn Academy,Sponsored Academy,BTEC Award Level 3,Preparation for Work,3,Supp,Supp
Leeds,136343,Garforth Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Cumbria,136357,Queen Elizabeth School,Converter Academy,BTEC Award Level 3,Fashion / Textiles Design,1,Supp,Supp
Lancashire,136381,Lancaster Girls' Grammar School,Converter Academy,BTEC Award Level 3,Fashion / Textiles Design,1,Supp,Supp
Bath and North East Somerset,136483,Oldfield School,Converter Academy,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
Torbay,136506,Torquay Girls Grammar School,Converter Academy,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Cumbria,136526,The Queen Katherine School,Converter Academy,BTEC Award Level 3,Photography,1,Supp,Supp
Plymouth,136556,Ridgeway School,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Plymouth,136557,Hele's Trust,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Plymouth,136558,Coombe Dean School,Converter Academy,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,BTEC Award Level 3,Childcare Skills,9,0,0
Kent,136583,Towers School and Sixth Form Centre,Converter Academy,BTEC Award Level 3,Preparation for Work,5,Supp,Supp
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Lincolnshire,136871,North Kesteven School,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Warwickshire,136907,Myton School,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Bradford,136962,Feversham College,Converter Academy,BTEC Award Level 3,Management Studies / Science,1,Supp,Supp
Suffolk,136969,Kesgrave High School,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Bromley,137006,Langley Park School for Girls,Converter Academy,BTEC Award Level 3,Childcare Skills,12,9,0
Peterborough,137084,The Voyager Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Lincolnshire,137135,Sir Robert Pattinson Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Nottingham,137184,Nottingham Girls' Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
Cumbria,137252,William Howard School,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
East Riding of Yorkshire,137316,Goole High School,Converter Academy,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
North Yorkshire,137412,Outwood Academy Ripon,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
"Bristol, City of",137440,Cotham School,Converter Academy,BTEC Award Level 3,Three Dimensional Design (3D Design),7,7,0
Darlington,137622,Carmel College,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Leicestershire,137640,Rawlins Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Sandwell,137701,Oldbury Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Newcastle upon Tyne,137708,Sacred Heart Catholic High School,Converter Academy,BTEC Award Level 3,Preparation for Work,10,10,0
Wolverhampton,137730,Heath Park,Converter Academy,BTEC Award Level 3,Preparation for Work,9,9,0
