"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Oxfordshire,123290,Headington School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123312,Abingdon School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Shropshire,123602,Adcote School for Girls,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Shropshire,123623,Concord College,Independent School,Advanced Extension Award,Mathematics,43,6,9,0,27,1
Telford and Wrekin,123627,Thomas Telford School,City Technology College,Advanced Extension Award,Mathematics,10,0,4,0,6,0
Somerset,123905,King's Bruton,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Somerset,123911,Millfield School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Somerset,123913,Queen's College,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Somerset,123930,Wellington School,Independent School,Advanced Extension Award,Mathematics,7,0,2,0,5,0
Staffordshire,124415,Wolgarston High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Staffordshire,124461,St John Fisher Catholic College,Voluntary Aided School,Advanced Extension Award,Mathematics,6,0,0,0,6,0
Staffordshire,124487,Newcastle-under-Lyme School,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Suffolk,124856,King Edward VI Church of England Voluntary Controlled Upper School,Voluntary Controlled School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Suffolk,124883,St Joseph's College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Suffolk,124888,Ipswich High School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Suffolk,124889,Royal Hospital School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,125332,Epsom College,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,125342,Guildford High School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,125349,City of London Freemen's School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,125442,Hurtwood House School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
