"Number of students passing a BTEC subsidiary diploma (with a single grade structure) by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Barnet,101360,St Mary's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Acting Skills,1,Supp,Supp,Supp,Supp
Barnet,101360,St Mary's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,7,1,1,2,3
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,17,7,3,6,1
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Engineering Studies,4,Supp,Supp,Supp,Supp
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,11,5,3,2,1
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),5,Supp,Supp,Supp,Supp
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,3,Supp,Supp,Supp,Supp
Brent,101558,Copland Community School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,4,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Music Technology (Electronic),4,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp
Bromley,101685,Farringtons School,Independent School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,2,Supp,Supp,Supp,Supp
Croydon,101811,Archbishop Tenison's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,7,7,0,0,0
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,18,3,5,10,0
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,10,9,0,0,1
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,4,Supp,Supp,Supp,Supp
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Subsidiary Diploma,Speech & Drama,2,Supp,Supp,Supp,Supp
Ealing,101928,Villiers High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp
Ealing,101928,Villiers High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,5,Supp,Supp,Supp,Supp
Ealing,101928,Villiers High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Fashion / Textiles Design,2,Supp,Supp,Supp,Supp
Ealing,101932,Acton High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,1,Supp,Supp,Supp,Supp
Ealing,101932,Acton High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,2,Supp,Supp,Supp,Supp
Ealing,101934,The Cardinal Wiseman Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,9,0,1,3,5
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Acting Skills,1,Supp,Supp,Supp,Supp
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,13,4,5,4,0
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Tourism,8,4,0,4,0
Ealing,101941,The Ellen Wilkinson School for Girls,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Ealing,101943,Northolt High School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Enfield,102043,Edmonton County School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,4,Supp,Supp,Supp,Supp
Enfield,102043,Edmonton County School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,1,Supp,Supp,Supp,Supp
Enfield,102043,Edmonton County School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,18,12,6,0,0
Enfield,102043,Edmonton County School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,9,1,4,4,0
Enfield,102045,Winchmore School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp
Enfield,102048,Enfield County School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,1,Supp,Supp,Supp,Supp
Enfield,102049,Chace Community School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),8,1,1,2,4
Enfield,102049,Chace Community School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,4,Supp,Supp,Supp,Supp
